player,role,amount,team,year,player_origin,amount_log,amount_scaled,year_scaled,role_encoded,team_encoded,origin_encoded,amount_normalized
Ashwin Hebbar,Batsman,2000000,Delhi Capitals,2022,Indian,14.508658238524095,-1.0517081776423227,1.381247912712276,19669590.643274855,19826086.95652174,14959009.74025974,0.162076444851182
Asif K M,Bowler,4000000,Chennai Super Kings,2018,Indian,15.201805169084134,-0.5488638539091648,0.030632514193211002,18284883.720930234,17787650.60240964,14959009.74025974,0.3241529481590604
Atharva Taide,All-Rounder,2000000,Punjab Kings,2022,Indian,14.508658238524095,-1.0517081776423227,1.381247912712276,19833904.10958904,26921875.0,14959009.74025974,0.162076444851182
Avesh Khan,Bowler,7000000,Delhi Daredevils,2018,Indian,15.76142084987672,-0.1428899454172702,0.030632514193211002,18284883.720930234,20617647.05882353,14959009.74025974,0.4550062329970057
Avesh Khan,Bowler,72000000,Lucknow Super Giants,2022,Indian,18.09217669086922,1.5479598484410695,1.381247912712276,18284883.720930234,29611111.111111112,14959009.74025974,1.0000000000000004
Axar Rajesh Patel,All-Rounder,50000000,Delhi Capitals,2019,Indian,17.72753358339242,1.2834290416250018,0.3682863638229773,19833904.10958904,19826086.95652174,14959009.74025974,0.9147365771822611
Ayush Badoni,All-Rounder,2000000,Lucknow Super Giants,2022,Indian,14.508658238524095,-1.0517081776423227,1.381247912712276,19833904.10958904,29611111.111111112,14959009.74025974,0.162076444851182
B. Sai Sudharsan,All-Rounder,2000000,Gujarat Titans,2022,Indian,14.508658238524095,-1.0517081776423227,1.381247912712276,19833904.10958904,23625000.0,14959009.74025974,0.162076444851182
Baba Aparajith,Batsman,1000000,Chennai Super Kings,2014,Indian,13.815511557963774,-1.5545523200128677,-1.319982884325854,19669590.643274855,17787650.60240964,14959009.74025974,0.0
Baba Aparajith,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian,13.815511557963774,-1.5545523200128677,-0.6446751850663216,19833904.10958904,11740740.74074074,14959009.74025974,0.0
Baba Indrajith,Wicket Keeper,2000000,Kolkata Knight Riders,2022,Indian,14.508658238524095,-1.0517081776423227,1.381247912712276,18055555.555555556,18454439.25233645,14959009.74025974,0.162076444851182
Baltej Dhanda,Bowler,2000000,Punjab Kings,2022,Indian,14.508658238524095,-1.0517081776423227,1.381247912712276,18284883.720930234,26921875.0,14959009.74025974,0.162076444851182
Bandaru Ayyappa,Bowler,2000000,Delhi Capitals,2019,Indian,14.508658238524095,-1.0517081776423227,0.3682863638229773,18284883.720930234,19826086.95652174,14959009.74025974,0.162076444851182
Barinder Singh Saran,Bowler,1000000,Rajasthan Royals,2015,Indian,13.815511557963774,-1.5545523200128677,-0.9823290346960878,18284883.720930234,17672500.0,14959009.74025974,0.0
Barinder Singh Sran,All-Rounder,12000000,Sunrisers Hyderabad,2016,Indian,16.300417291085605,0.24812570945301407,-0.6446751850663216,19833904.10958904,19513392.85714286,14959009.74025974,0.5810381818306305
Barinder Singh Sran,Bowler,22000000,Kings XI Punjab,2018,Indian,16.906553056777135,0.6878476727939987,0.030632514193211002,18284883.720930234,21982142.85714286,14959009.74025974,0.7227691209747333
Barinder Singh Sran,Bowler,34000000,Mumbai Indians,2019,Indian,17.341871111992198,1.0036497104753757,0.3682863638229773,18284883.720930234,16299065.420560747,14959009.74025974,0.8245582584654492
Basil Thampi,Bowler,8500000,Gujarat Lions,2017,Indian,15.955576839107596,-0.0020392357060393,-0.3070213354365553,18284883.720930234,6833333.333333333,14959009.74025974,0.5004051555680076
Basil Thampi,Bowler,9500000,Sunrisers Hyderabad,2018,Indian,16.066802461833923,0.0786495339844364,0.030632514193211002,18284883.720930234,19513392.85714286,14959009.74025974,0.5264127150260851
Basil Thampi,All-Rounder,3000000,Mumbai Indians,2022,Indian,14.914123179965662,-0.7575631193760233,1.381247912712276,19833904.10958904,16299065.420560747,14959009.74025974,0.2568851167581414
Ben Cutting,Bowler,8000000,Rajasthan Royals,2014,Overseas,15.894952224644102,-0.04601943949464804,-1.319982884325854,18284883.720930234,17672500.0,26280014.124293786,0.48622948069530425
Ben Cutting,All-Rounder,5000000,Sunrisers Hyderabad,2016,Overseas,15.424948670398354,-0.386984116631616,-0.6446751850663216,19833904.10958904,19513392.85714286,26280014.124293786,0.3763299352224885
Ben Cutting,All-Rounder,22000000,Mumbai Indians,2018,Overseas,16.906553056777135,0.6878476727939987,0.030632514193211002,19833904.10958904,16299065.420560747,26280014.124293786,0.7227691209747333
Ben Cutting,All-Rounder,7500000,Kolkata Knight Riders,2021,Overseas,15.830413711839864,-0.09283898582023083,1.0435940630825098,19833904.10958904,18454439.25233645,26280014.124293786,0.47113863051213967
Ben Dunk,Wicket Keeper,2000000,Mumbai Indians,2014,Overseas,14.508658238524095,-1.0517081776423227,-1.319982884325854,18055555.555555556,16299065.420560747,26280014.124293786,0.162076444851182
Ben Dwarshuis,Bowler,14000000,Kings XI Punjab,2018,Overseas,16.454567959008102,0.35995450786069705,0.030632514193211002,18284883.720930234,21982142.85714286,26280014.124293786,0.6170827780596952
Ben Hilfenhaus,Bowler,10000000,Chennai Super Kings,2014,Overseas,16.118095750958314,0.11586031591917634,-1.319982884325854,18284883.720930234,17787650.60240964,26280014.124293786,0.5384064736044065
Ben Laughlin,All-Rounder,1500000,Chennai Super Kings,2013,Overseas,14.220976332738882,-1.2604073826549629,-1.6576367339556204,19833904.10958904,17787650.60240964,26280014.124293786,0.09480863293583308
Ben Laughlin,Bowler,3000000,Sunrisers Hyderabad,2017,Overseas,14.914123179965662,-0.7575631193760233,-0.3070213354365553,18284883.720930234,19513392.85714286,26280014.124293786,0.2568851167581414
Ben Laughlin,Bowler,5000000,Rajasthan Royals,2018,Overseas,15.424948670398354,-0.386984116631616,0.030632514193211002,18284883.720930234,17672500.0,26280014.124293786,0.3763299352224885
Benjamin Stokes,All-Rounder,72000000,Rising Pune Supergiant,2017,Overseas,18.09217669086922,1.5479598484410695,-0.3070213354365553,19833904.10958904,11740740.74074074,26280014.124293786,1.0000000000000004
Benjamin Stokes,All-Rounder,72000000,Rajasthan Royals,2018,Overseas,18.09217669086922,1.5479598484410695,0.030632514193211002,19833904.10958904,17672500.0,26280014.124293786,1.0000000000000004
Benny Howell,All-Rounder,4000000,Punjab Kings,2022,Overseas,15.201805169084134,-0.5488638539091648,1.381247912712276,19833904.10958904,26921875.0,26280014.124293786,0.3241529481590604
Beuran Hendricks,Bowler,18000000,Kings XI Punjab,2014,Overseas,16.705882371415992,0.5422708684763853,-1.319982884325854,18284883.720930234,21982142.85714286,26280014.124293786,0.6758468862135536
Bhanuka Rajapaksa,Batsman,5000000,Punjab Kings,2022,Overseas,15.424948670398354,-0.386984116631616,1.381247912712276,19669590.643274855,26921875.0,26280014.124293786,0.3763299352224885
